Reference;Water/binder ratio;Coarse aggregate/binder ratio;Fine aggregate/binder ratio;Heating rate, °C/min;Moisture content;Characteristic length, mm;Maximum exposure temperature, °C;Silica fume/binder ratio;Maximum aggregate size, mm;GGBS/binder ratio;Fly ash/binder ratio;Quantity of PP fiber, kg/m³;Diameter of PP fiber, um;Length of PP fiber,mm;Quantity of S fiber, kg/m³;Diameter of S fiber, mm;Length of S fiber,mm;output
11;0.421;3.135;1.842;3;0.025;50;250;0;20;0;0.248;0;0;0;0;0;0;0
11;0.421;3.135;1.842;3;0.025;50;300;0;20;0;0.248;0;0;0;0;0;0;0
11;0.421;3.135;1.842;3;0.025;50;350;0;20;0;0.248;0;0;0;0;0;0;0
11;0.421;3.135;1.842;3;0.025;50;400;0;20;0;0.248;0;0;0;0;0;0;0
11;0.421;3.135;1.842;3;0.025;50;450;0;20;0;0.248;0;0;0;0;0;0;0
12;0.58;3.8;2.4;66;0.05;50;678;0;14;0;0;0;0;0;0;0;0;0
12;0.46;3.1;1.9;66;0.053;50;678;0;14;0;0;0;0;0;0;0;0;1
12;0.34;2.1;1;66;0.055;50;678;0;14;0;0;0;0;0;0;0;0;1
12;0.3;2.683;1.262;66;0.055;50;678;0;14;0.099;0;0;0;0;0;0;0;1
13;0.61;3.952;2.29;5;0.036;50;800;0;14;0;0;0;0;0;0;0;0;0
13;0.61;3.952;2.29;5;0.037;50;800;0;10;0;0;0;0;0;0;0;0;1
13;0.61;3.952;2.29;5;0.036;50;800;0;4.75;0;0;0;0;0;0;0;0;1
13;0.42;2.347;1.695;5;0.037;50;800;0;14;0;0;0;0;0;0;0;0;0
13;0.42;2.347;1.695;5;0.037;50;800;0;10;0;0;0;0;0;0;0;0;1
13;0.42;2.347;1.695;5;0.037;50;800;0;4.75;0;0;0;0;0;0;0;0;1
13;0.61;3.952;2.29;5;0.025;50;800;0;14;0;0;0;0;0;0;0;0;0
13;0.61;3.952;2.29;5;0.026;50;800;0;10;0;0;0;0;0;0;0;0;0
13;0.61;3.952;2.29;5;0.026;50;800;0;4.75;0;0;0;0;0;0;0;0;1
13;0.42;2.347;1.695;5;0.028;50;800;0;14;0;0;0;0;0;0;0;0;0
13;0.42;2.347;1.695;5;0.027;50;800;0;10;0;0;0;0;0;0;0;0;0
13;0.42;2.347;1.695;5;0.027;50;800;0;4.75;0;0;0;0;0;0;0;0;1
14;0.24;0;1.237;10;0.03;50;300;0;1;0.458;0;0;0;0;0;0;0;0
14;0.24;0;1.237;10;0.03;50;600;0;1;0.458;0;0;0;0;0;0;0;1
14;0.24;0;1.237;10;0.03;50;900;0;1;0.458;0;0;0;0;0;0;0;1
14;0.24;0;1.237;10;0.03;25;300;0;1;0.458;0;0;0;0;0;0;0;0
14;0.24;0;1.237;10;0.03;25;600;0;1;0.458;0;0;0;0;0;0;0;1
14;0.24;0;1.237;10;0.03;25;900;0;1;0.458;0;0;0;0;0;0;0;1
14;0.24;0;1.237;10;0.03;50;300;0;1;0.458;0;7.28;32;12;0;0;0;0
14;0.24;0;1.237;10;0.03;50;600;0;1;0.458;0;7.28;32;12;0;0;0;1
14;0.24;0;1.237;10;0.03;50;900;0;1;0.458;0;7.28;32;12;0;0;0;1
14;0.24;0;1.237;10;0.03;25;300;0;1;0.458;0;14.56;32;12;0;0;0;0
14;0.24;0;1.237;10;0.03;25;600;0;1;0.458;0;14.56;32;12;0;0;0;0
14;0.24;0;1.237;10;0.03;25;900;0;1;0.458;0;14.56;32;12;0;0;0;0
15;0.537;3;2.414;66;0.038;75;678;0;20;0;0;0;0;0;0;0;0;0
16;0.186;0;1.222;0.25;0.03;75;500;0.14;0.5;0;0;0;0;0;0;0;0;0
16;0.186;0;1.222;0.5;0.03;75;500;0.14;0.5;0;0;0;0;0;0;0;0;1
16;0.269;1.194;1.194;0.5;0.04;75;500;0.099;8;0;0;0;0;0;0;0;0;0
16;0.269;1.194;1.194;1;0.04;75;500;0.099;8;0;0;0;0;0;0;0;0;0
16;0.269;1.194;1.194;1.5;0.04;75;500;0.099;8;0;0;0;0;0;0;0;0;0
16;0.269;1.194;1.194;2;0.04;75;500;0.099;8;0;0;0;0;0;0;0;0;1
16;0.269;1.194;1.194;2.5;0.04;75;500;0.099;8;0;0;0;0;0;0;0;0;1
16;0.269;1.194;1.194;4;0.04;75;500;0.099;8;0;0;0;0;0;0;0;0;1
16;0.33;3.125;1.625;5;0.029;75;500;0;16;0;0;0;0;0;0;0;0;0
16;0.33;3.125;1.625;6;0.029;75;500;0;16;0;0;0;0;0;0;0;0;0
16;0.33;3.125;1.625;8;0.029;75;500;0;16;0;0;0;0;0;0;0;0;0
16;0.186;0;1.222;0.25;0.034;75;500;0.14;0.5;0;0;0;0;0;156;0.15;6;0
16;0.186;0;1.222;0.5;0.034;75;500;0.14;0.5;0;0;0;0;0;156;0.15;6;0
16;0.186;0;1.222;0.75;0.034;75;500;0.14;0.5;0;0;0;0;0;156;0.15;6;1
16;0.186;0;1.222;1;0.034;75;500;0.14;0.5;0;0;0;0;0;156;0.15;6;1
16;0.269;1.194;1.194;0.5;0.038;75;500;0.099;8;0;0;0;0;0;156;0.15;6;0
16;0.269;1.194;1.194;1;0.038;75;500;0.099;8;0;0;0;0;0;156;0.15;6;0
16;0.269;1.194;1.194;1.75;0.038;75;500;0.099;8;0;0;0;0;0;156;0.15;6;1
16;0.269;1.194;1.194;2;0.038;75;500;0.099;8;0;0;0;0;0;156;0.15;6;1
16;0.269;1.194;1.194;2.5;0.038;75;500;0.099;8;0;0;0;0;0;156;0.15;6;1
16;0.269;1.194;1.194;3;0.038;75;500;0.099;8;0;0;0;0;0;156;0.15;6;1
16;0.33;3.125;1.625;3;0.027;75;500;0;16;0;0;0;0;0;156;0.15;6;0
16;0.33;3.125;1.625;4;0.027;75;500;0;16;0;0;0;0;0;156;0.15;6;0
16;0.33;3.125;1.625;8;0.027;75;500;0;16;0;0;0;0;0;156;0.15;6;0
16;0.186;0;1.222;2;0;20;150;0.14;0.5;0;0;0;0;0;156;0.15;6;0
16;0.186;0;1.222;2;0;20;175;0.14;0.5;0;0;0;0;0;156;0.15;6;0
16;0.186;0;1.222;2;0;20;200;0.14;0.5;0;0;0;0;0;156;0.15;6;0
16;0.186;0;1.222;2;0;20;250;0.14;0.5;0;0;0;0;0;156;0.15;6;0
