idx_original;Reference;Water/binder ratio;Coarse aggregate/binder ratio;Fine aggregate/binder ratio;Heating rate, °C/min;Moisture content;Characteristic length, mm;Maximum exposure temperature, °C;Silica fume/binder ratio;Maximum aggregate size, mm;GGBS/binder ratio;Fly ash/binder ratio;Quantity of PP fiber, kg/m³;Diameter of PP fiber, um;Length of PP fiber,mm;Quantity of S fiber, kg/m³;Diameter of S fiber, mm;Length of S fiber,mm;output
100;7;0.6;1.73;3.135;5.0;0.035;75.0;300.0;0.0;16.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0
101;7;0.6;1.73;3.135;5.0;0.035;75.0;500.0;0.0;16.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0
102;7;0.6;1.73;3.135;5.0;0.035;75.0;700.0;0.0;16.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0
103;7;0.6;1.73;3.135;5.0;0.035;50.0;300.0;0.0;16.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0
104;7;0.6;1.73;3.135;5.0;0.035;50.0;500.0;0.0;16.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0
105;7;0.6;1.73;3.135;5.0;0.035;50.0;700.0;0.0;16.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0
106;7;0.57;1.943;3.2;5.0;0.035;75.0;300.0;0.0;16.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0
107;7;0.57;1.943;3.2;5.0;0.035;75.0;500.0;0.0;16.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0
108;7;0.57;1.943;3.2;5.0;0.035;75.0;700.0;0.0;16.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0
109;7;0.57;1.943;3.2;5.0;0.035;50.0;300.0;0.0;16.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0
110;7;0.57;1.943;3.2;5.0;0.035;50.0;500.0;0.0;16.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0
111;7;0.57;1.943;3.2;5.0;0.035;50.0;700.0;0.0;16.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0
112;7;0.46;1.465;2.64;5.0;0.035;75.0;300.0;0.0;16.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0
113;7;0.46;1.465;2.64;5.0;0.035;75.0;500.0;0.0;16.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0
114;7;0.46;1.465;2.64;5.0;0.035;75.0;700.0;0.0;16.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;1
